Title,Rating,Genre
Ben-Hur,8.1,"
Adventure, Drama, History            "
Titanic,7.8,"
Drama, Romance            "
The Lord of the Rings: The Return of the King,8.9,"
Adventure, Drama, Fantasy            "
West Side Story,7.5,"
Crime, Drama, Musical            "
Gigi,6.7,"
Comedy, Musical, Romance            "
The Last Emperor,7.7,"
Biography, Drama, History            "
The English Patient,7.4,"
Drama, Romance, War            "
Gone with the Wind,8.1,"
Drama, History, Romance            "
From Here to Eternity,7.6,"
Drama, Romance, War            "
On the Waterfront,8.1,"
Crime, Drama, Thriller            "
My Fair Lady,7.8,"
Drama, Family, Musical            "
Cabaret,7.8,"
Drama, Musical            "
Gandhi,8,"
Biography, Drama, History            "
Amadeus,8.3,"
Biography, Drama, History            "
Slumdog Millionaire,8,"
Drama, Romance            "
The Best Years of Our Lives,8,"
Drama, Romance, War            "
The Bridge on the River Kwai,8.1,"
Adventure, Drama, War            "
Lawrence of Arabia,8.3,"
Adventure, Biography, Drama            "
Patton,7.9,"
Biography, Drama, War            "
The Sting,8.3,"
Comedy, Crime, Drama            "
Out of Africa,7.2,"
Biography, Drama, Romance            "
Dances with Wolves,8,"
Adventure, Drama, Western            "
Schindler's List,8.9,"
Biography, Drama, History            "
Shakespeare in Love,7.1,"
Comedy, Drama, History            "
Gravity,7.7,"
Drama, Sci-Fi, Thriller            "
